sourceId,targetId
0,283
1,283
2,283
3,283
4,283
5,283
6,282
7,283
8,283
9,284
10,282
11,283
12,283
13,283
14,282
15,283
16,283
17,283
18,284
19,283
20,283
21,282
22,283
23,283
24,283
25,283
26,283
27,283
28,284
29,283
30,283
31,283
32,283
33,284
34,283
35,284
36,283
37,284
38,284
39,282
40,283
41,283
42,283
43,283
44,284
45,284
46,284
47,283
48,283
49,283
50,283
51,284
52,282
53,282
54,282
55,282
56,282
57,282
58,282
59,283
60,284
61,282
62,284
63,283
64,282
65,282
66,284
67,283
68,283
69,283
70,283
71,283
72,283
73,283
74,282
75,282
76,283
77,283
78,284
79,283
80,283
81,284
82,282
83,284
84,283
85,283
86,284
87,283
88,283
89,283
90,283
91,282
92,282
93,283
94,283
95,283
96,282
97,282
98,282
99,282
100,282
101,283
102,283
103,283
104,283
105,283
106,283
107,283
108,282
109,284
110,282
111,283
112,284
113,283
114,283
115,283
116,283
117,282
118,283
119,283
120,282
121,283
122,283
123,283
124,282
125,282
126,283
127,283
128,282
129,284
130,282
131,282
132,283
133,284
134,282
135,284
136,284
137,282
138,282
139,283
140,282
141,283
142,282
143,282
144,283
145,283
146,282
147,282
148,284
149,282
150,282
151,283
152,283
153,284
154,284
155,284
156,284
157,284
158,283
159,283
160,283
161,283
162,283
163,282
164,283
165,283
166,284
167,284
168,282
169,283
170,283
171,284
172,284
173,283
174,283
175,284
176,283
177,283
178,283
179,284
180,283
181,283
182,283
183,282
184,282
185,283
186,283
187,283
188,283
189,283
190,283
191,284
192,282
193,284
194,283
195,283
196,283
197,283
198,283
199,283
200,282
201,283
202,283
203,283
204,283
205,283
206,283
207,284
208,283
209,284
210,283
211,283
212,283
213,283
214,282
215,282
216,284
217,283
218,283
219,283
220,283
221,283
222,283
223,283
224,283
225,284
226,284
227,283
228,283
229,283
230,283
231,283
232,283
233,283
234,283
235,283
236,283
237,283
238,283
239,283
240,284
241,283
242,283
243,283
244,283
245,283
246,283
247,283
248,282
249,283
250,283
251,283
252,283
253,283
254,283
255,282
256,282
257,283
258,283
259,283
260,283
261,282
262,283
263,284
264,282
265,282
266,282
267,283
268,282
269,283
270,282
271,283
272,282
273,284
274,284
275,282
276,282
277,282
278,282
279,284
280,283
281,282
