,UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,clean_text,category,Key_phrases
0,benwokes014,@benwokes014,2023-05-17T09:06:23.000Z,"https://youtu.be/tmSasSVCVdI How To Print, Scan, Copy With HP Deskjet 4100 Printer using HP Smart App !! #Computer #Printer #Drivers #Software",0.0,0.0,1.0,http youtu tmsassvcvdi print scan copi hp deskjet 4100 printer use hp smart app comput printer driver softwar,Appreciation,"['Smart App', 'Scan', 'Print', 'Copy', 'Deskjet', 'App', 'Printer', 'Smart', 'Computer', 'Drivers', 'Software']"
1,benwokes014,@benwokes014,2023-05-17T09:04:43.000Z,https://youtube.com/shorts/cxSxpVSXLaI… HP Printer Connect to Wi-Fi - 123 HP Deskjet 2700e Install #Computer #Printer #Drivers #Software,0.0,0.0,1.0,http youtub com short cxsxpvsxlai hp printer connect wi fi 123 hp deskjet 2700e instal comput printer driver softwar,Neutral,"['Connect to Wi-Fi', 'Printer Connect', 'Install', 'Computer', 'Drivers', 'Software', 'Deskjet', 'Printer', 'Connect', 'Wi-Fi']"
2,benwokes014,@benwokes014,2023-05-17T09:03:11.000Z,"https://youtu.be/PMvIgso2c6I HP DeskJet 4100, 4100e USB WiFi SetUp Windows 10 !!  | http://123.hp.com Printer Setup #Computer #Printer #Drivers #Software",0.0,0.0,1.0,http youtu pmvigso2c6i hp deskjet 4100 4100e usb wifi setup window 10 http 123 hp com printer setup comput printer driver softwar,Neutral,"['USB WiFi SetUp', 'WiFi SetUp Windows', 'USB WiFi', 'SetUp Windows', 'USB', 'Windows', 'Printer Setup', 'WiFi SetUp', 'Printer', 'Computer', 'Drivers', 'Software', 'DeskJet', 'SetUp', 'WiFi']"
3,László Babus,@MatrixfanLive,2023-05-17T08:59:27.000Z,HP disables printers if you use third-party ink cartridges. Big f*ck you to HP! Won’t buy anything from them ever. Color runs dry very quickly despite printing 90% b&w text with small company logos in the footer. What about your data collection you f*cks?!,0.0,0.0,0.0,hp disabl printer use third parti ink cartridg big f ck hp buy anyth ever color run dri quickli despit print 90 b w text small compani logo footer data collect f ck,Neutral,"['third-party ink cartridges', 'ink cartridges', 'disables printers', 'third-party ink', 'cartridges', 'disables', 'printers', 'third-party', 'ink', 'Big', 'Color runs dry', 'cks', 'Color runs', 'quickly despite printing', 'n’t buy', 'Color', 'printing', 'footer', 'small company logos', 'runs dry']"
4,Nadia.HilllEiv,@hillleiv,2023-05-17T08:39:37.000Z,"Icehtank Printer Ink Cartridge 364XL 364 XL Replace For HP Photosmart 5510 5515 6510 B010a B109a B209a Deskjet 3070A For HP364 JKKLXP2

https://s.click.aliexpress.com/e/_Def9tel?UxE1bY…",0.0,0.0,0.0,icehtank printer ink cartridg 364xl 364 xl replac hp photosmart 5510 5515 6510 b010a b109a b209a deskjet 3070a hp364 jkklxp2 http click aliexpress com e _def9tel uxe1bi,Neutral,"['Printer Ink Cartridge', 'Icehtank Printer Ink', 'Ink Cartridge', 'Printer Ink', 'Icehtank Printer', 'Deskjet', 'Cartridge', 'Photosmart', 'Printer', 'Ink', 'Replace', 'Icehtank']"
5,Guru3D.com News,@guru_3d,2023-05-17T08:36:36.000Z,HP disables printers if you use third-party ink cartridges,0.0,0.0,0.0,hp disabl printer use third parti ink cartridg,Neutral,"['third-party ink cartridges', 'ink cartridges', 'disables printers', 'third-party ink', 'cartridges', 'disables', 'printers', 'third-party', 'ink']"
6,benwokes014,@benwokes014,2023-05-17T08:33:25.000Z,https://youtu.be/2nC4un0yPME HP LaserJet M109-M112e Printer Wireless not Working | HP 123 Setup #Computer #Printer #Drivers #Software,0.0,0.0,1.0,http youtu 2nc4un0ypm hp laserjet m109 m112e printer wireless work hp 123 setup comput printer driver softwar,Neutral,"['Wireless not Working', 'Printer Wireless', 'Setup', 'Computer', 'Drivers', 'Software', 'Printer', 'Working', 'Wireless', 'LaserJet']"
7,Sword Man.,@Reaping1821,2023-05-17T07:55:06.000Z,I got cheap and replaced my old quality Canon printer/scanner with this cheap piece of s*HP*. Old photos scan isn't going how I'd like.,0.0,0.0,2.0,got cheap replac old qualiti canon printer scanner cheap piec hp old photo scan go like,Appreciation,"['quality Canon printer', 'Canon printer', 'quality Canon', 'cheap piece', 'Canon', 'printer', 'scanner', 'cheap', 'cheap and replaced', 'replaced', 'quality', 'piece', 'photos scan', 'photos', 'scan']"
8,Sydni65MWt,@sydni65,2023-05-17T07:47:34.000Z,"4 Slot Print Head 862 For HP862 Printhead for HP photosmart B110A B109A B210A B310A B209a B110c B110d B210b B210c Printer E5MRUSQ

https://s.click.aliexpress.com/e/_Dk3Ue8z?MYnDo8E5…",0.0,0.0,0.0,4 slot print head 862 hp862 printhead hp photosmart b110a b109a b210a b310a b209a b110c b110d b210b b210c printer e5mrusq http click aliexpress com e _dk3ue8z myndo8e5,Neutral,"['Slot Print Head', 'Slot Print', 'Print Head', 'Printer', 'Slot', 'Head', 'Printhead', 'Print', 'photosmart']"
9,Topjet Toner & Ink,@TopjetTech,2023-05-17T07:37:32.000Z,"Topjet GT53/GT52 Refill Ink Bottle 
for HP Ink Tank Printers
worry-free printing makes your work more efficient！
 
Click the website for more product information  
https://lnkd.in/gCtsgMBF

#Topjet #printing #printer #print #toner #cartridges #inkjet #ink #HP #refillink #color",0.0,0.0,0.0,topjet gt53 gt52 refil ink bottl hp ink tank printer worri free print make work effici click websit product inform http lnkd gctsgmbf topjet print printer print toner cartridg inkjet ink hp refillink color,Neutral,"['Refill Ink Bottle', 'Tank Printers worry-free', 'Ink Tank Printers', 'worry-free printing makes', 'Refill Ink', 'Printers worry-free printing', 'Tank Printers', 'Ink Bottle', 'Ink Tank', 'work more efficient', 'Topjet', 'makes your work', 'Printers worry-free', 'Refill', 'worry-free printing', 'printing makes', 'Bottle', 'Tank', 'Ink', 'efficient']"
