id,Comments,Key_phrases,Retweets,UserName,Text,ID,Likes,category,Timestamp,Handle,type
0,0,"Connect to Wi-Fi,Printer Connect,Install,Computer,Drivers,Software,Deskjet,Printer,Connect,Wi-Fi",1,"benwokes014","https://youtube.com/shorts/cxSxpVSXLaI… HP Printer Connect to Wi-Fi - 123 HP Deskjet 2700e Install #Computer #Printer #Drivers #Software",1,0,"Neutral","2023-05-17T09:04:43.000Z","@benwokes014","labelled_tweets"
1,0,"USB WiFi SetUp,WiFi SetUp Windows,USB WiFi,SetUp Windows,USB,Windows,Printer Setup,WiFi SetUp,Printer,Computer,Drivers,Software,DeskJet,SetUp,WiFi",1,"benwokes014","https://youtu.be/PMvIgso2c6I HP DeskJet 4100, 4100e USB WiFi SetUp Windows 10 !!  | http://123.hp.com Printer Setup #Computer #Printer #Drivers #Software",2,0,"Neutral","2023-05-17T09:03:11.000Z","@benwokes014","labelled_tweets"
2,0,"third-party ink cartridges,ink cartridges,disables printers,third-party ink,cartridges,disables,printers,third-party,ink,Big,Color runs dry,cks,Color runs,quickly despite printing,n’t buy,Color,printing,footer,small company logos,runs dry",0,"László Babus","HP disables printers if you use third-party ink cartridges. Big f*ck you to HP! Won’t buy anything from them ever. Color runs dry very quickly despite printing 90% b&w text with small company logos in the footer. What about your data collection you f*cks?!",3,0,"Neutral","2023-05-17T08:59:27.000Z","@MatrixfanLive","labelled_tweets"
3,0,"Printer Ink Cartridge,Icehtank Printer Ink,Ink Cartridge,Printer Ink,Icehtank Printer,Deskjet,Cartridge,Photosmart,Printer,Ink,Replace,Icehtank",0,"Nadia.HilllEiv","Icehtank Printer Ink Cartridge 364XL 364 XL Replace For HP Photosmart 5510 5515 6510 B010a B109a B209a Deskjet 3070A For HP364 JKKLXP2  https://s.click.aliexpress.com/e/_Def9tel?UxE1bY…",4,0,"Neutral","2023-05-17T08:39:37.000Z","@hillleiv","labelled_tweets"
4,0,"third-party ink cartridges,ink cartridges,disables printers,third-party ink,cartridges,disables,printers,third-party,ink",0,"Guru3D.com News","HP disables printers if you use third-party ink cartridges",5,0,"Neutral","2023-05-17T08:36:36.000Z","@guru_3d","labelled_tweets"
5,0,"Wireless not Working,Printer Wireless,Setup,Computer,Drivers,Software,Printer,Working,Wireless,LaserJet",1,"benwokes014","https://youtu.be/2nC4un0yPME HP LaserJet M109-M112e Printer Wireless not Working | HP 123 Setup #Computer #Printer #Drivers #Software",6,0,"Neutral","2023-05-17T08:33:25.000Z","@benwokes014","labelled_tweets"
6,0,"quality Canon printer,Canon printer,quality Canon,cheap piece,Canon,printer,scanner,cheap,cheap and replaced,replaced,quality,piece,photos scan,photos,scan",2,"Sword Man.","I got cheap and replaced my old quality Canon printer/scanner with this cheap piece of s*HP*. Old photos scan isn't going how I'd like.",7,0,"Appreciation","2023-05-17T07:55:06.000Z","@Reaping1821","labelled_tweets"
7,0,"Slot Print Head,Slot Print,Print Head,Printer,Slot,Head,Printhead,Print,photosmart",0,"Sydni65MWt","4 Slot Print Head 862 For HP862 Printhead for HP photosmart B110A B109A B210A B310A B209a B110c B110d B210b B210c Printer E5MRUSQ  https://s.click.aliexpress.com/e/_Dk3Ue8z?MYnDo8E5…",8,0,"Neutral","2023-05-17T07:47:34.000Z","@sydni65","labelled_tweets"
8,0,"Refill Ink Bottle,Tank Printers worry-free,Ink Tank Printers,worry-free printing makes,Refill Ink,Printers worry-free printing,Tank Printers,Ink Bottle,Ink Tank,work more efficient,Topjet,makes your work,Printers worry-free,Refill,worry-free printing,printing makes,Bottle,Tank,Ink,efficient",0,"Topjet Toner & Ink","Topjet GT53/GT52 Refill Ink Bottle  for HP Ink Tank Printers worry-free printing makes your work more efficient！   Click the website for more product information   https://lnkd.in/gCtsgMBF  #Topjet #printing #printer #print #toner #cartridges #inkjet #ink #HP #refillink #color",9,0,"Neutral","2023-05-17T07:37:32.000Z","@TopjetTech","labelled_tweets"
9,0,"Wireless Setup Mac,Printer Unboxing,Setup Mac,Unboxing and Wireless,Wireless Setup,iOS,YouTube,Envy,Printer,Mac,Unboxing,Wireless,Setup",0,"Cláudia Mendonça","HP Envy 6000 All-in-one Printer Unboxing and Wireless Setup Mac/iOS https://youtu.be/HEPduGDsTOc via  @YouTube",10,0,"Complaint","2023-05-17T07:36:45.000Z","@claussmendonca","labelled_tweets"
